Machine,tau_k,e,hm,ha,Lz,lq,F_active,THD,mass,time
1,0.020040589784821754,0.006338271277256268,0.009341346415977163,0.0027973616855154343,0.041547482681085525,0.002078924092362786,13.018852682725193,0.030408549471537104,0.17614238824418632,0.10403766044162903
2,0.009699657595449884,0.018975041514306873,0.008463682873413765,0.004849269235642506,0.049042808881734366,0.00496698092649607,58.730125883923506,0.09845693480532168,0.2641326128255808,0.059982635171027254
3,0.010605811577119593,0.019057163229628353,0.008463682873413765,0.00497532550043061,0.048296638149889604,0.00496698092649607,57.58864629185739,0.058315245910872525,0.2670630561855196,0.06090928000826924
4,0.020040589784821754,0.006338271277256268,0.009341346415977163,0.0027547017883813108,0.041547482681085525,0.0021815812608861227,13.444601207079412,0.03041600951118904,0.1772683398348791,0.10270382535762379
5,0.01972328362628846,0.006231638624276225,0.009518480609785574,0.003356761751412419,0.04940136177026487,0.002565939992407634,22.919008740345085,0.030486299652703535,0.1961363403913281,0.08274201867421753
6,0.020272331136211224,0.006370307925142948,0.009574029162901855,0.0032218194328597844,0.048407342910163596,0.0022801203081193816,19.284062595138156,0.030434264322638547,0.1881503865136376,0.08834831778598182
7,0.010610978307303898,0.0198255534325003,0.00886097853080314,0.004759904452697364,0.04905705879235893,0.004837399984934499,56.58832958042194,0.07809066203808825,0.25965435449508567,0.06058698783537665
8,0.010534158503217986,0.01973620369966092,0.008413888557897112,0.004759904452697364,0.04905705879235893,0.004890294792010366,57.17504378886505,0.07957805975080912,0.26081441168237357,0.06040981881943917
9,0.024700066644161484,0.007799871841513973,0.009776088316998763,0.003488064880262683,0.04391549306436663,0.003847886567556058,32.82478082553572,0.030634575352721884,0.224632369440319,0.0739912296869769
10,0.010996763651695095,0.018839366165795998,0.008377091841152762,0.004759904452697364,0.04905705879235893,0.0048327829059266626,52.47640943434676,0.03749644678330639,0.2609085645205824,0.06306771628448499
11,0.010762952559498386,0.018839366165795998,0.008377091841152762,0.004873225480931715,0.04978478593212246,0.004965387156980814,56.97174165755022,0.0450885344059418,0.2683004186785095,0.06137986381912742
12,0.020272331136211224,0.006368414157344714,0.009574029162901855,0.0032218194328597844,0.048407342910163596,0.0022801203081193816,19.285584836056152,0.03043529914022437,0.18815071264780603,0.08834490754986084
13,0.024900517504821307,0.007718518418417496,0.009448517706774651,0.004970032363231278,0.04931028004588635,0.0038251053594246863,51.2542247333374,0.031328231670812376,0.2609474206836073,0.06381997993608692
14,0.010774203733272468,0.01876417040818036,0.008413819420901785,0.004763064073043644,0.04905705879235893,0.004837399984934499,53.350102509975734,0.04278154385062179,0.260810643909268,0.06253742860057057
15,0.010610978307303898,0.018839366165795998,0.008377091841152762,0.004759904452697364,0.0498248627341111,0.004967478004159602,56.57273386627133,0.05160944250939229,0.265183929458669,0.06123715575648843
16,0.02470060428641661,0.007799339985857512,0.009306102188438903,0.003684933753748326,0.048880763842755574,0.0037193350555884868,37.160348495435066,0.03072164003701863,0.23125147206646482,0.07055817795946495
17,0.010610978307303898,0.018839366165795998,0.008377091841152762,0.004759904452697364,0.04978478593212246,0.004965387156980814,56.503436673672454,0.05160944250939228,0.26504358456034743,0.06125847908546341
18,0.024700066644161484,0.007799871841513973,0.00950290869166718,0.0035353725692950457,0.044162810516503594,0.0038983512260812913,33.836185484712196,0.03067974171385625,0.2270663950298532,0.07327076526723007
19,0.024739190493763347,0.007793774135104093,0.009295944441017725,0.004593247476914431,0.048880763842755574,0.0037193350555884868,45.72939389541104,0.03104972199041045,0.24902488563876607,0.06600375530255964
20,0.010793865783248265,0.018839366165795998,0.008275292556519393,0.004775672906735325,0.04913261943269053,0.0048699316679538425,54.068814629070964,0.04366180966259754,0.262034778685798,0.062266010104961154
21,0.024694122328948027,0.007804473681378981,0.009985728457067312,0.00434020015415941,0.04999492577848259,0.0032622719901270426,39.062225710233605,0.03079222011529387,0.2319268068212082,0.06891947733835573
22,0.024694122328948027,0.007804367295929417,0.009985728457067312,0.004596982662904174,0.04999492577848259,0.0032622719901270426,41.17636912143993,0.030926664284361007,0.23642480665757049,0.06777468231337071
23,0.024931822029115678,0.007916345695381806,0.009385127789075848,0.004750451693917983,0.04931028004588635,0.003716368087971798,47.505235400057956,0.03113063726748777,0.25284661024154553,0.0652533517364992
24,0.02459641691006268,0.007787653302904822,0.009141068459679552,0.004100879977661238,0.048069432108234424,0.0038521923682211644,41.81083761633427,0.03084973658117047,0.24196549651724883,0.06804203283375533
25,0.024900517504821307,0.007715771480247037,0.009695067842608892,0.004970032363231278,0.04931028004588635,0.003636271427913046,48.80227729424914,0.031284273173913,0.2545143071867976,0.06459234469823281
26,0.024700663711477836,0.007916345695381806,0.009385127789075848,0.004750451693917983,0.04931028004588635,0.0037841067367719934,48.17788449726444,0.031205518618782183,0.25485808643595154,0.06505345087390405
27,0.02476243770996028,0.00791394303372108,0.00913449831618814,0.004766332637030395,0.04819757565908272,0.003956723096158934,49.36269793923237,0.03123956437891391,0.258960645000505,0.06478320552374713
28,0.024739190493763347,0.007793774135104093,0.009306102188438903,0.004289207761739079,0.048880763842755574,0.0035922898843486705,41.47790088180288,0.030893388779031906,0.23927839928950417,0.06793418289588914
29,0.024694122328948027,0.007804367295929417,0.008779496844914969,0.004749678700568042,0.049302517482977634,0.003864987537320693,49.17190065046494,0.03125930465443451,0.25754829861207695,0.06473152496420358
