Machine,tau_k,e,hm,ha,Lz,lq,F_active,THD,mass,time
1,0.02470493846759632,0.009449795819211723,0.008963541416993296,0.004935156294546031,0.04942369906417606,0.004224913771813601,52.38966907638459,0.043418233499363135,0.2730914979130631,0.06457676063130374
2,0.014525758740385905,0.004547542144567781,0.008246317304654159,0.0021165481090933257,0.02712486015036927,0.0013144279183969934,3.7860104303334436,0.03024102787324789,0.15759246829047438,0.1824827509253999
3,0.023507517113540863,0.008899019110769898,0.009626053785509826,0.004697838775131897,0.04942369906417606,0.004081435625048285,48.442661445141816,0.04188358214322174,0.2619772082792123,0.06577528685157069
4,0.024958167649913328,0.008112562355830615,0.008247892095259649,0.004753198604972942,0.047279115210612434,0.0038691413755280236,46.73882875321403,0.03166827379425235,0.2542910215281617,0.06597381437560909
5,0.018023675508131866,0.005626411803608103,0.009688316644361218,0.0026695031196189104,0.02492424316526457,0.0018599909157102274,6.5823947091930695,0.03030471198640106,0.1642879986293067,0.14130448694655645
6,0.014525758740385905,0.004547542144567781,0.008245307285243643,0.0021165481090933257,0.02712486015036927,0.001469123067879881,4.231573567603441,0.030241119320321853,0.15867049650342738,0.1731977062089235
7,0.017880043726008488,0.005626411803608103,0.009054410758253976,0.002691173238064297,0.04789097863417574,0.0017788960706266552,12.132889107865296,0.030321340910768577,0.17320734912412294,0.10686759523510032
8,0.018025941478967973,0.005626411803608103,0.008655721970718781,0.0026598930904443057,0.04889208843002833,0.002558697755370021,17.63148937984291,0.030417497337844303,0.18561803850250744,0.09177208169512639
9,0.018865731682397992,0.006165974085387719,0.009653263401972315,0.0034978177120971246,0.04939970595289226,0.003029954775213123,27.698069559865274,0.030980753048321718,0.20779073668524534,0.07746996042198354
10,0.024598261938923283,0.007573666060244317,0.00903935849215028,0.004716029052455837,0.047275422838350276,0.0031614355903322854,38.633171420855085,0.0313459243333414,0.23145507354532444,0.06923061114983425
11,0.014709612537758302,0.004594790087908038,0.00861865628277183,0.0026086039071132544,0.047901191010812125,0.0020069038626684974,12.837045578503602,0.030413531262676846,0.17508266000759065,0.10445615125803508
12,0.01888691174161037,0.006165974085387719,0.008270710200478652,0.003166379294868329,0.04793787067448285,0.003029954775213123,24.26355281778576,0.03092977806568168,0.20120716339234807,0.08144970507629941
13,0.02497482097342303,0.009445740893490453,0.00803544630600743,0.004753198604972942,0.049434186873988886,0.0041633699744016185,49.8533440765398,0.04229366427388319,0.26727027539329534,0.06548972645095973
14,0.019787916350872792,0.006165974085387719,0.009628925707618283,0.002593227588026436,0.049568801895913284,0.003029954775213123,20.969683344620183,0.030478542173372012,0.19392505701569754,0.0860133814002536
15,0.02470493846759632,0.009449795819211723,0.009969833135961217,0.004844221110611282,0.049621056930498585,0.004081435625048285,50.289690055026455,0.0430956916366477,0.26654191093326335,0.0651160829153417
16,0.019362874918641818,0.006165974085387719,0.008957799340616704,0.002542762092776406,0.049386966259525336,0.0029565923885558126,19.736768350325278,0.03047366987342422,0.19146305829980717,0.08809463640906415
17,0.02368205953266522,0.0074709166663169185,0.00856161414151745,0.004992429817808901,0.04694603141640852,0.003520745958889892,44.25434445425878,0.03154426515346307,0.24612819986588524,0.06670336220783879
18,0.02470493846759632,0.009449795819211723,0.009626053785509826,0.004935156294546031,0.04990445467244761,0.004081435625048285,51.32506511875415,0.043230952305129744,0.2690708235443792,0.06476099951005226
19,0.017880043726008488,0.005626411803608103,0.009054410758253976,0.002691173238064297,0.049258560591023556,0.0017788960706266552,12.479357705951347,0.03032134091076858,0.1737798615729484,0.10554765777530606
