Machine,tau_k,e,hm,ha,Lz,lq,F_active,THD,mass,time
47,0.024773889532891103,0.0078078932031622255,0.009980470310776217,0.00417068149627248,0.0499992698450079,0.0038915742052714106,43.59075602137665,0.0307220610720664,0.24764687687219034,0.06741619242609043
48,0.0249688083542314,0.007847748488063076,0.009999688577093074,0.004102311147504023,0.04999587324624455,0.003898782915585777,43.08955471808409,0.030703235430760846,0.2466063013243338,0.06766453088087898
49,0.02499530566767722,0.007847623518886187,0.009975871555695352,0.004785478515373063,0.04999311494044243,0.003899510381478893,49.678174016496754,0.03103202376698078,0.26095468510462216,0.0648253291410315
50,0.024767572511711015,0.007846030998267422,0.00999135923859343,0.004012767256777178,0.04995365280161294,0.0038896518160964053,41.90762117839406,0.030668150677932788,0.24419754188288628,0.0682761671194633
51,0.024962176636675864,0.007847182116011724,0.009991861018273089,0.004592876279186565,0.049991996820922036,0.0038988376039731445,47.82784921051285,0.03091687505778599,0.2568649125340511,0.06554762492006497
52,0.024829596986725336,0.007847736726889286,0.009948082975703808,0.004029112716320558,0.04995353820832069,0.0039009963812708117,42.22895089727885,0.03067913682632148,0.24493698767495697,0.06811880703635
53,0.02499849797521001,0.007876720728187495,0.009978083053494746,0.0047098192602505725,0.0499945135721467,0.003899535376172786,48.91408221123147,0.030980505847957196,0.2593624329203288,0.06513007444912192
54,0.024995603964281077,0.00785777011404468,0.009997694153824597,0.004861263942651164,0.04990446355285345,0.003908744454110753,50.40001446335622,0.031072430463726743,0.26269118558679383,0.06457321551491793
55,0.024962176636675864,0.007847137420431945,0.009991861018273089,0.004363921567405139,0.0499973454109133,0.0039024101486810664,45.68257603932357,0.030803664904813937,0.25219375614531475,0.06645640828544165
56,0.024965142494296,0.00785094507015484,0.009976751282649993,0.004810783236836196,0.04993258889785972,0.003919410773729426,50.07244622544449,0.031045400602229885,0.2620201069640964,0.06470128393085003
57,0.024920866576891666,0.007847856393502887,0.009993687751757727,0.004145536717410966,0.04995288947736899,0.003901888208069818,43.47165386857005,0.030713075272015243,0.24749169897867446,0.06748732750427758
58,0.024843504000920304,0.007842711314814604,0.009999438453889231,0.004319632901836006,0.049951233301167235,0.0038977320144562727,45.06457367335784,0.03077836350627337,0.25092793810607866,0.06674240762386668
59,0.02499992532182212,0.007847802573408327,0.009993656841856706,0.004670719089403854,0.04999204042738035,0.003902338173001517,48.64269854325528,0.030961993822451475,0.25864872591604793,0.06522158295574534
60,0.024772300506435422,0.0078078932031622255,0.00999135923859343,0.004100176096874166,0.049990492156868516,0.0039005607798725055,42.99239183636891,0.030695176473232805,0.24642920627269133,0.06771662098236372
61,0.024847376539061387,0.007847622163637482,0.009976162240591887,0.003816334134732581,0.049995735593465186,0.003910172386100633,40.25091938928339,0.03062655197112669,0.24082313625233015,0.06918408397774435
62,0.024995446035632578,0.007848272081021226,0.009978008160512298,0.0042468648689871534,0.04994139686058113,0.003909826091360542,44.60241954711766,0.03076083311272086,0.24991589997844665,0.06695187252008862
63,0.024943776157980546,0.007845941501134903,0.009999988954942375,0.004192375438549611,0.0499959910645835,0.0038994548046862357,43.96583527232051,0.030731311521925177,0.2484882752534742,0.0672419470197871
64,0.024997069120034267,0.007847750862719433,0.00999781403631305,0.004826112681218176,0.04996015475633896,0.003902380113301657,50.06911400606505,0.031053224661047367,0.2618453291274071,0.06468185342439377
65,0.024773889532891103,0.007805573900231737,0.009993552432107478,0.003937793492061322,0.049999195657684015,0.0038911888835005157,41.29491171794162,0.030648446944809914,0.24276990889435301,0.06857947406090958
66,0.024967003830233807,0.00784755310684384,0.009999817136726439,0.0044152550797598444,0.04999207815143897,0.0038988207081769558,46.13620625595809,0.030826045048214186,0.25315096467266995,0.06625426597846029
67,0.024920866576891666,0.007847856393502887,0.009993687751757727,0.004008111008682431,0.04995288947736899,0.003901888208069818,42.113071360921865,0.03067097924605819,0.24461491200349322,0.0681675993347467
68,0.024995666170481087,0.007847053517536628,0.009978008160512298,0.0047098192602505725,0.0499945135721467,0.003921706640247675,49.25044441559012,0.030987001001341722,0.2601177684906567,0.0650017316499695
69,0.024970278243732075,0.007845941501134903,0.00999250394488852,0.0041997763241691105,0.049981331424444796,0.0038994548046862357,44.04585171759119,0.030738361339372487,0.24864722078964518,0.06720232397389789
70,0.024926241985789428,0.007845941501134903,0.0099991086125195,0.0042373461119640556,0.04999285376064385,0.0038994548046862357,44.387785549171774,0.03074680361029602,0.24940731486251433,0.06704522418259411
71,0.02499973272513313,0.007847802573408327,0.009993918625681933,0.004838844655441966,0.049999431141893876,0.003902253223012533,50.22709657052889,0.031061923979153146,0.2621816701670134,0.06462151259539356
72,0.024993932187622313,0.007850924434791656,0.009999322562772996,0.0047777691210529735,0.049999431141893876,0.0039023510242484375,49.64668843397122,0.031022224827757242,0.2608977264174938,0.0648388044131663
73,0.024995603964281077,0.007847720719787931,0.009997694153824597,0.004861263942651164,0.04990446355285345,0.003908744454110753,50.4211477148018,0.031075160350989908,0.26269627149466995,0.06456030661980998
74,0.024995666125239936,0.007847053517536628,0.009978008160512298,0.0044815566489798155,0.0499945135721467,0.003921706640247675,47.07075581423015,0.030864477071940392,0.255311184700848,0.06587252758441332
75,0.024966581422553476,0.007850924434791656,0.009993656841856706,0.004660181370749695,0.04999948478807903,0.0039023510242484375,48.51273570839877,0.03095310833100157,0.258406129727169,0.0652782519699168
76,0.0247272460736174,0.0078078932031622255,0.009978160446205692,0.0039321546129882975,0.04993838001377122,0.0038915742052714106,41.14856425954115,0.030645816263848533,0.2425281302230361,0.0686671005003429
77,0.02447579279746293,0.007746663769733895,0.009997681809263458,0.003907806547815716,0.04997465040083065,0.003857284317938142,40.488657994366406,0.030630840803598815,0.24086017823472283,0.06898597458569541
78,0.024848340353887746,0.007842606846418342,0.009994268379421106,0.00428493672856795,0.04993298214840596,0.0039130442487288215,44.891334644765564,0.030764174716855986,0.25065505050471626,0.06683469410212081
79,0.024995603964281077,0.00785760125123999,0.009997694153824597,0.0048774152751453565,0.04990446355285345,0.003908728976861133,50.55038348718429,0.03108273450670174,0.2630291070751407,0.06451856085761576
80,0.024975886545499197,0.007842236154996707,0.009996539356515332,0.004105463582358503,0.04999633382882604,0.003910728716662081,43.268215680598814,0.030708178393685392,0.24704429417551682,0.06758462593417881
81,0.024975886545499197,0.007847581998827366,0.00997765526557395,0.004316130763516033,0.04999209632133081,0.003910125980572651,45.31160728868472,0.030786603436965758,0.2514396854084932,0.06662806058359523
82,0.024966892379481163,0.007847869416678812,0.00999420954410518,0.0046781573556973054,0.049999330561655946,0.003910578277310406,48.79160939680303,0.030964056814860717,0.25905860917391305,0.06517355883014433
83,0.024966512053838236,0.007847802573408327,0.009993656841856706,0.004833499099726398,0.049999431141893876,0.0039023510242484375,50.14579154467897,0.03105739058605858,0.26203948100055446,0.06465633946795868
84,0.024986364353935944,0.007845908614320298,0.009972063082573297,0.004794030610888203,0.04993258889785972,0.0038995001020902076,49.6916289048272,0.03103794958257405,0.26101640385532976,0.06482421671676399
85,0.024925254107909595,0.007842665381782785,0.009982669774185186,0.004213073560728976,0.04994399137150238,0.003909761473103489,44.225435598987,0.030741024760770057,0.2491410650591745,0.0671323101357999
86,0.024966512053838236,0.007847802004446435,0.009993656841856706,0.004008111008682431,0.04999886094356592,0.003901888208069818,42.18825843928969,0.03067685936322153,0.24472856253853967,0.06812264849382255
87,0.024788329852093484,0.0078078932031622255,0.009998624407320238,0.004092501262086579,0.04994533781876019,0.0038915742052714106,42.79401544588957,0.030692624083113833,0.24594661841120763,0.06780690188450508
