Machine,tau_k,e,hm,ha,Lz,lq,F_active,THD,mass,time
1,0.02451171171893987,0.006623243247552734,0.009869891568898592,0.004984447243404999,0.0492302107086584,0.003230897478362667,43.67541115863827,0.036316775995287424,0.24126808478266476,0.06647776819705775
2,0.02094660669645945,0.006598302021222948,0.009998292771230733,0.003072634915516066,0.025197454483964994,0.0020076553999121664,8.220844277473432,0.030377226380357236,0.16868988613702918,0.12812424085665075
3,0.020927477057267746,0.006598255262475639,0.009990902878889343,0.0031894873872844276,0.0445709623472266,0.002465505866494839,18.531295963581332,0.030385181837031695,0.1888409947273666,0.09029012142827435
4,0.023437924172410196,0.006622882650838104,0.009569601265763585,0.004984447243404999,0.049902333424488826,0.0032630278090110833,43.80749057691459,0.034128575383986975,0.24262195315381868,0.06656345447752955
5,0.023437924172410196,0.006854422656295637,0.0099694134701212,0.004992275689175565,0.04969319413280808,0.0032308589549770953,42.94312521883584,0.032678776886901476,0.24129974053681605,0.06704657499599008
6,0.02317198955806973,0.006623243247552734,0.009568143780359521,0.004984447243404999,0.04987224637211432,0.0032308589549770953,43.132027278074396,0.03364104525181989,0.241339401639673,0.06690509222924987
7,0.02187736540106447,0.006915786144892043,0.009576100406711478,0.004903557822543553,0.049780932268105454,0.003448433163765793,43.50033220217329,0.03147612712232444,0.24569943428949015,0.06722035241042383
8,0.02093242272538793,0.006598255262475639,0.009990902878889343,0.0031894873872844276,0.0445709623472266,0.003247904317475695,24.414749213447852,0.03038574261766575,0.20413791790475588,0.08178632616198878
9,0.023437924172410196,0.006623243247552734,0.009568143780359521,0.004984447243404999,0.04987224637211432,0.0032308589549770953,43.34849109031791,0.034126381440273225,0.24152330722170867,0.06676325842601255
10,0.020942739928816314,0.006598302021222948,0.009900053942312153,0.003175811460830572,0.049813797871209056,0.0032225194966729468,26.95433736825351,0.03039579836049896,0.20827070623143434,0.07862212150103098
11,0.02187589079451695,0.006942812769974269,0.00927200018912902,0.0039863743522747346,0.04997212192637838,0.0034443384171767484,36.04371143128819,0.03080677964717527,0.22891339501402574,0.07127969696534474
12,0.02187736540106447,0.006915786144892043,0.009565353757862431,0.004813910326859155,0.04945480278070308,0.003448433163765793,42.51415914101217,0.031394732925938626,0.2435255482852121,0.06769404432855741
13,0.02241934277143219,0.006864847047263753,0.009650661680233983,0.004514811094230875,0.04975064290003109,0.003431745740027038,40.79463592344432,0.0312972170621205,0.238431739137534,0.06837943310613757
14,0.021189191496251047,0.006647690878921645,0.009983384425150324,0.004377395843907371,0.04956469917856556,0.0032165577148766046,36.446329633599724,0.031037848044525248,0.22863639899389238,0.07084199448428749
15,0.020985915590937997,0.00659059028002018,0.009793809111801922,0.0038964307127359096,0.049262425649007104,0.0032617706189650383,32.90866415182742,0.03071582518689972,0.2210823768043657,0.07331062620944434
16,0.020931070801059406,0.006590886207708825,0.009601614500232936,0.0034146471174698106,0.04935535006714514,0.0032053785143818037,28.50284398389792,0.030491413615888443,0.21152685438149718,0.07705195302759255
17,0.02094660669645945,0.006597906098587819,0.009900053942312153,0.0031968919839696036,0.04989973039467717,0.0032744057244970906,27.620332294752867,0.030399358093336788,0.20986119752699856,0.07796444959889498
18,0.02187589079451695,0.006942812769974269,0.00982931168135812,0.0039863743522747346,0.0492302107086584,0.0034443384171767484,35.60592324777332,0.03072259822512307,0.22795656221773167,0.07156652289178965
19,0.02179617162380088,0.006867456769382543,0.009716028502731712,0.0044687540992025335,0.0495578697297051,0.0032567256940929015,37.686863434403215,0.031078680797307932,0.2316968618231256,0.0701310065853279
20,0.02187436151690311,0.006846703336633087,0.009578960936677948,0.00451306312079423,0.049354356624307275,0.0032895365029568333,38.33121717956463,0.031139623663846278,0.23320198157569205,0.06976455150258273
21,0.021064405714070134,0.00659059028002018,0.009522771200432618,0.0035782219314760173,0.049374492767883464,0.0032570675285405744,30.399218058998905,0.03058997167377223,0.2156542531831796,0.07533430761214303
22,0.021847245109995896,0.006898513417838313,0.009870081713291515,0.0035776714134690747,0.049222716203520464,0.003256731072312765,30.426633548941396,0.03051251200898323,0.21591517837882263,0.07534590057991432
23,0.0210504720535066,0.0066622195051914326,0.009563705520825872,0.003423517785517082,0.04977472841388967,0.0032639555122073263,29.31600543481859,0.030497675405626697,0.2135169818892817,0.07633238071512252
24,0.02241934277143219,0.006897210493290318,0.009520508967255828,0.004570159772142265,0.048122176517780654,0.0033440369666481286,38.793160523337335,0.03129031700842984,0.2343991496972166,0.06952570921539596
25,0.021084240428164678,0.00659059028002018,0.009530233815846108,0.0036462010919312477,0.049921580928495024,0.0032567256940929015,31.307433752834726,0.0306251956703617,0.21743602332164652,0.07453959121405324
26,0.02185787243631286,0.006895227527702431,0.009564649452462359,0.004621411122106023,0.0492302107086584,0.003259268045723273,38.592147983980915,0.031222823823475677,0.23397987982658522,0.06964417121995171
