0.00000000e+000 1.21632475e+000	
2.02004008e+001	-2.93374355e-002	
2.03206413e+001	-2.91481570e-002	
2.04408818e+001	-2.89588785e-002	
2.05611222e+001	-2.84786950e-002	
2.06813627e+001	-2.79250795e-002	
2.08016032e+001	-2.73714641e-002	
2.09218437e+001	-2.68178486e-002	
2.10420842e+001	-2.61444563e-002	
2.11623246e+001	-2.54620808e-002	
2.12825651e+001	-2.47797052e-002	
2.14028056e+001	-2.41096207e-002	
2.15230461e+001	-2.36254309e-002	
2.16432866e+001	-2.31412411e-002	
2.17635271e+001	-2.26570512e-002	
2.18837675e+001	-2.21816662e-002	
2.20040080e+001	-2.17429099e-002	
2.21242485e+001	-2.13041535e-002	
2.22444890e+001	-2.08653972e-002	
2.23647295e+001	-2.03658991e-002	
2.24849699e+001	-1.97405792e-002	
2.26052104e+001	-1.91152593e-002	
2.27254509e+001	-1.84899394e-002	
2.28456914e+001	-1.79705703e-002	
2.29659319e+001	-1.75769058e-002	
2.30861723e+001	-1.71832413e-002	
2.32064128e+001	-1.67895767e-002	
2.33266533e+001	-1.63861763e-002	
2.34468938e+001	-1.59759865e-002	
2.35671343e+001	-1.55657968e-002	
2.36873747e+001	-1.51556070e-002	
2.38076152e+001	-1.46786048e-002	
2.39278557e+001	-1.41757393e-002	
2.40480962e+001	-1.36728738e-002	
2.41683367e+001	-1.31700084e-002	
2.42885772e+001	-1.28271405e-002	
2.44088176e+001	-1.25119086e-002	
2.45290581e+001	-1.21966767e-002	
2.46492986e+001	-1.18814449e-002	
2.47695391e+001	-1.14378472e-002	
2.48897796e+001	-1.09922280e-002	
2.50100200e+001	-1.05466088e-002	
2.51302605e+001	-1.01208656e-002	
2.52505010e+001	-9.84617973e-003	
2.53707415e+001	-9.57149384e-003	
2.54909820e+001	-9.29680795e-003	
2.56112224e+001	-8.99416492e-003	
2.57314629e+001	-8.60677725e-003	
2.58517034e+001	-8.21938957e-003	
2.59719439e+001	-7.83200190e-003	
2.60921844e+001	-7.49680376e-003	
2.62124248e+001	-7.24681260e-003	
2.63326653e+001	-6.99682144e-003	
2.64529058e+001	-6.74683028e-003	
2.65731463e+001	-6.49184431e-003	
2.66933868e+001	-6.23209089e-003	
2.68136273e+001	-5.97233747e-003	
2.69338677e+001	-5.71258405e-003	
2.70541082e+001	-5.47614895e-003	
2.71743487e+001	-5.25263696e-003	
2.72945892e+001	-5.02912497e-003	
2.74148297e+001	-4.80561299e-003	
2.75350701e+001	-4.53021061e-003	
2.76553106e+001	-4.23976000e-003	
2.77755511e+001	-3.94930940e-003	
2.78957916e+001	-3.65885879e-003	
2.80160321e+001	-3.46177841e-003	
2.81362725e+001	-3.27427448e-003	
2.82565130e+001	-3.08677054e-003	
2.83767535e+001	-2.89605007e-003	
2.84969940e+001	-2.62556166e-003	
2.86172345e+001	-2.35507326e-003	
2.87374749e+001	-2.08458486e-003	
2.88577154e+001	-1.82927519e-003	
2.89779559e+001	-1.64778866e-003	
2.90981964e+001	-1.46630213e-003	
2.92184369e+001	-1.28481560e-003	
2.93386774e+001	-1.09866827e-003	
2.94589178e+001	-9.01765623e-004	
2.95791583e+001	-7.04862972e-004	
2.96993988e+001	-5.07960321e-004	
2.98196393e+001	-3.20655912e-004	
2.99398798e+001	-1.45863141e-004	
3.00601202e+001	2.89296292e-005	
3.01803607e+001	2.03722400e-004	
3.03006012e+001	4.20043171e-004	
3.04208417e+001	6.68221120e-004	
3.05410822e+001	9.16399069e-004	
3.06613226e+001	1.16457702e-003	
3.07815631e+001	1.36076697e-003	
3.09018036e+001	1.53442877e-003	
3.10220441e+001	1.70809057e-003	
3.11422846e+001	1.88175236e-003	
3.12625251e+001	2.13500762e-003	
3.13827655e+001	2.40462782e-003	
3.15030060e+001	2.67424802e-003	
3.16232465e+001	2.94386821e-003	
3.17434870e+001	3.14809753e-003	
3.18637275e+001	3.34969021e-003	
3.19839679e+001	3.55128289e-003	
3.21042084e+001	3.75603619e-003	
3.22244489e+001	3.99160416e-003	
3.23446894e+001	4.22717213e-003	
3.24649299e+001	4.46274010e-003	
3.25851703e+001	4.69438525e-003	
3.27054108e+001	4.91250423e-003	
3.28256513e+001	5.13062320e-003	
3.29458918e+001	5.34874217e-003	
3.30661323e+001	5.60730571e-003	
3.31863727e+001	5.93884544e-003	
3.33066132e+001	6.27038518e-003	
3.34268537e+001	6.60192491e-003	
3.35470942e+001	6.89244595e-003	
3.36673347e+001	7.13999489e-003	
3.37875752e+001	7.38754383e-003	
3.39078156e+001	7.63509276e-003	
3.40280561e+001	7.90472903e-003	
3.41482966e+001	8.18789369e-003	
3.42685371e+001	8.47105835e-003	
3.43887776e+001	8.75422300e-003	
3.45090180e+001	9.14269475e-003	
3.46292585e+001	9.56590718e-003	
3.47494990e+001	9.98911961e-003	
3.48697395e+001	1.04123320e-002	
3.49899800e+001	1.07546883e-002	
3.51102204e+001	1.10864056e-002	
3.52304609e+001	1.14181228e-002	
3.53507014e+001	1.17505684e-002	
3.54709419e+001	1.21292361e-002	
3.55911824e+001	1.25079039e-002	
3.57114228e+001	1.28865717e-002	
3.58316633e+001	1.32681946e-002	
3.59519038e+001	1.36669292e-002	
3.60721443e+001	1.40656639e-002	
3.61923848e+001	1.44643985e-002	
3.63126253e+001	1.48737425e-002	
3.64328657e+001	1.53104931e-002	
3.65531062e+001	1.57472437e-002	
3.66733467e+001	1.61839942e-002	
3.67935872e+001	1.66765064e-002	
3.69138277e+001	1.72489785e-002	
3.70340681e+001	1.78214507e-002	
3.71543086e+001	1.83939229e-002	
3.72745491e+001	1.88997746e-002	
3.73947896e+001	1.93494750e-002	
3.75150301e+001	1.97991754e-002	
3.76352705e+001	2.02488759e-002	
3.77555110e+001	2.07270114e-002	
3.78757515e+001	2.12188739e-002	
3.79959920e+001	2.17107364e-002	
3.81162325e+001	2.22025989e-002	
3.82364729e+001	2.26690145e-002	
3.83567134e+001	2.31293137e-002	
3.84769539e+001	2.35896130e-002	
3.85971944e+001	2.40499122e-002	
3.87174349e+001	2.47274293e-002	
3.88376754e+001	2.54193076e-002	
3.89579158e+001	2.61111859e-002	
3.90781563e+001	2.67937228e-002	
3.91983968e+001	2.73517057e-002	
3.93186373e+001	2.79096886e-002	
3.94388778e+001	2.84676715e-002	
3.95591182e+001	2.89518192e-002	
3.96793587e+001	2.91434645e-002	
3.97995992e+001	2.93351098e-002	
3.99198397e+001	2.95267552e-002	
4.00400802e+001	-1.24598046e+000	
4.01603206e+001	-1.24579721e+000	
4.02805611e+001	-1.24561395e+000	
4.04008016e+001	-1.24543070e+000	
4.05210421e+001	-1.24515112e+000	
4.06412826e+001	-1.24461939e+000	
4.07615230e+001	-1.24408767e+000	
4.08817635e+001	-1.24355594e+000	
4.10020040e+001	-1.24299321e+000	
4.11222445e+001	-1.24232027e+000	
4.12424850e+001	-1.24164733e+000	
4.13627255e+001	-1.24097439e+000	
4.14829659e+001	-1.24034195e+000	
4.16032064e+001	-1.23991813e+000	
4.17234469e+001	-1.23949431e+000	
4.18436874e+001	-1.23907048e+000	
4.19639279e+001	-1.23862639e+000	
4.20841683e+001	-1.23801079e+000	
4.22044088e+001	-1.23739519e+000	
4.23246493e+001	-1.23677959e+000	
4.24448898e+001	-1.23617546e+000	
4.25651303e+001	-1.23579488e+000	
4.26853707e+001	-1.23541429e+000	
4.28056112e+001	-1.23503370e+000	
4.29258517e+001	-1.23465312e+000	
4.30460922e+001	-1.23410688e+000	
4.31663327e+001	-1.23355928e+000	
4.32865731e+001	-1.23301167e+000	
4.34068136e+001	-1.23246407e+000	
4.35270541e+001	-1.23211435e+000	
4.36472946e+001	-1.23177839e+000	
4.37675351e+001	-1.23144244e+000	
4.38877756e+001	-1.23110648e+000	
4.40080160e+001	-1.23064543e+000	
4.41282565e+001	-1.23016700e+000	
4.42484970e+001	-1.22968858e+000	
4.43687375e+001	-1.22921015e+000	
4.44889780e+001	-1.22888401e+000	
4.46092184e+001	-1.22859105e+000	
4.47294589e+001	-1.22829809e+000	
4.48496994e+001	-1.22800512e+000	
4.49699399e+001	-1.22762387e+000	
4.50901804e+001	-1.22721538e+000	
4.52104208e+001	-1.22680689e+000	
4.53306613e+001	-1.22639840e+000	
4.54509018e+001	-1.22609904e+000	
4.55711423e+001	-1.22584483e+000	
4.56913828e+001	-1.22559061e+000	
4.58116232e+001	-1.22533640e+000	
4.59318637e+001	-1.22508120e+000	
4.60521042e+001	-1.22482547e+000	
4.61723447e+001	-1.22456974e+000	
4.62925852e+001	-1.22431400e+000	
4.64128257e+001	-1.22408233e+000	
4.65330661e+001	-1.22386714e+000	
4.66533066e+001	-1.22365195e+000	
4.67735471e+001	-1.22343676e+000	
4.68937876e+001	-1.22319591e+000	
4.70140281e+001	-1.22293291e+000	
4.71342685e+001	-1.22266991e+000	
4.72545090e+001	-1.22240690e+000	
4.73747495e+001	-1.22219371e+000	
4.74949900e+001	-1.22203456e+000	
4.76152305e+001	-1.22187541e+000	
4.77354709e+001	-1.22171625e+000	
4.78557114e+001	-1.22153532e+000	
4.79759519e+001	-1.22132464e+000	
4.80961924e+001	-1.22111396e+000	
4.82164329e+001	-1.22090328e+000	
4.83366733e+001	-1.22072197e+000	
4.84569138e+001	-1.22059157e+000	
4.85771543e+001	-1.22046116e+000	
4.86973948e+001	-1.22033075e+000	
4.88176353e+001	-1.22020606e+000	
4.89378758e+001	-1.22009415e+000	
4.90581162e+001	-1.21998224e+000	
4.91783567e+001	-1.21987034e+000	
4.92985972e+001	-1.21974979e+000	
4.94188377e+001	-1.21960363e+000	
4.95390782e+001	-1.21945746e+000	
4.96593186e+001	-1.21931130e+000	
4.97795591e+001	-1.21917722e+000	
4.98997996e+001	-1.21909299e+000	
5.00200401e+001	-1.21900877e+000	
5.01402806e+001	-1.21892455e+000	
5.02605210e+001	-1.21883681e+000	
5.03807615e+001	-1.21872713e+000	
5.05010020e+001	-1.21861745e+000	
5.06212425e+001	-1.21850777e+000	
5.07414830e+001	-1.21840154e+000	
5.08617234e+001	-1.21833432e+000	
5.09819639e+001	-1.21826710e+000	
5.11022044e+001	-1.21819988e+000	
5.12224449e+001	-1.21813290e+000	
5.13426854e+001	-1.21807542e+000	
5.14629259e+001	-1.21801795e+000	
5.15831663e+001	-1.21796047e+000	
5.17034068e+001	-1.21790300e+000	
5.18236473e+001	-1.21782919e+000	
5.19438878e+001	-1.21775484e+000	
5.20641283e+001	-1.21768049e+000	
5.21843687e+001	-1.21760614e+000	
5.23046092e+001	-1.21756070e+000	
5.24248497e+001	-1.21751811e+000	
5.25450902e+001	-1.21747551e+000	
5.26653307e+001	-1.21743291e+000	
5.27855711e+001	-1.21737898e+000	
5.29058116e+001	-1.21732310e+000	
5.30260521e+001	-1.21726723e+000	
5.31462926e+001	-1.21721135e+000	
5.32665331e+001	-1.21717390e+000	
5.33867735e+001	-1.21714114e+000	
5.35070140e+001	-1.21710839e+000	
5.36272545e+001	-1.21707563e+000	
5.37474950e+001	-1.21704354e+000	
5.38677355e+001	-1.21701169e+000	
5.39879760e+001	-1.21697984e+000	
5.41082164e+001	-1.21694799e+000	
5.42284569e+001	-1.21691810e+000	
5.43486974e+001	-1.21688913e+000	
5.44689379e+001	-1.21686016e+000	
5.45891784e+001	-1.21683118e+000	
5.47094188e+001	-1.21680562e+000	
5.48296593e+001	-1.21678208e+000	
5.49498998e+001	-1.21675855e+000	
5.50701403e+001	-1.21673502e+000	
5.51903808e+001	-1.21671051e+000	
5.53106212e+001	-1.21668526e+000	
5.54308617e+001	-1.21666001e+000	
5.55511022e+001	-1.21663477e+000	
5.56713427e+001	-1.21661473e+000	
5.57915832e+001	-1.21659967e+000	
5.59118236e+001	-1.21658461e+000	
5.60320641e+001	-1.21656954e+000	
5.61523046e+001	-1.21655470e+000	
5.62725451e+001	-1.21654012e+000	
5.63927856e+001	-1.21652554e+000	
5.65130261e+001	-1.21651095e+000	
5.66332665e+001	-1.21649755e+000	
5.67535070e+001	-1.21648592e+000	
5.68737475e+001	-1.21647429e+000	
5.69939880e+001	-1.21646266e+000	
5.71142285e+001	-1.21645087e+000	
5.72344689e+001	-1.21643876e+000	
5.73547094e+001	-1.21642664e+000	
5.74749499e+001	-1.21641453e+000	
5.75951904e+001	-1.21640411e+000	
5.77154309e+001	-1.21639794e+000	
5.78356713e+001	-1.21639178e+000	
5.79559118e+001	-1.21638562e+000	
5.80761523e+001	-1.21637919e+000	
5.81963928e+001	-1.21637186e+000	
5.83166333e+001	-1.21636453e+000	
5.84368737e+001	-1.21635721e+000	
5.85571142e+001	-1.21635051e+000	
5.86773547e+001	-1.21634688e+000	
5.87975952e+001	-1.21634326e+000	
5.89178357e+001	-1.21633963e+000	
5.90380762e+001	-1.21633614e+000	
5.91583166e+001	-1.21633363e+000	
5.92785571e+001	-1.21633112e+000	
5.93987976e+001	-1.21632861e+000	
5.95190381e+001	-1.21632623e+000	
5.96392786e+001	-1.21632585e+000	
5.97595190e+001	-1.21632547e+000	
5.98797595e+001	-1.21632510e+000	
6.00000000e+001	0.00000000e+000	
