0.00000000e+000	-1.24501283e-007	
1.20240481e-001	1.38333836e-006	
2.40480962e-001	3.05325600e-006	
3.60721443e-001	4.44007222e-006	
4.80961924e-001	5.10916976e-006	
6.01202405e-001	5.77826730e-006	
7.21442886e-001	6.26053329e-006	
8.41683367e-001	6.60650908e-006	
9.61923848e-001	6.95248487e-006	
1.08216433e+000	7.16523291e-006	
1.20240481e+000	7.37618079e-006	
1.32264529e+000	7.71609035e-006	
1.44288577e+000	8.25333172e-006	
1.56312625e+000	8.79057310e-006	
1.68336673e+000	9.32781448e-006	
1.80360721e+000	9.86505586e-006	
1.92384770e+000	1.04785131e-005	
2.04408818e+000	1.13748732e-005	
2.16432866e+000	1.22712334e-005	
2.28456914e+000	1.31675936e-005	
2.40480962e+000	1.40639538e-005	
2.52505010e+000	1.49757233e-005	
2.64529058e+000	1.63992853e-005	
2.76553106e+000	1.78228474e-005	
2.88577154e+000	1.92464094e-005	
3.00601202e+000	2.06699715e-005	
3.12625251e+000	2.20935336e-005	
3.24649299e+000	2.31682663e-005	
3.36673347e+000	2.41796150e-005	
3.48697395e+000	2.51909638e-005	
3.60721443e+000	2.62023125e-005	
3.72745491e+000	2.72136612e-005	
3.84769539e+000	2.79706557e-005	
3.96793587e+000	2.85984885e-005	
4.08817635e+000	2.92263214e-005	
4.20841683e+000	2.98541542e-005	
4.32865731e+000	3.04819870e-005	
4.44889780e+000	3.14703240e-005	
4.56913828e+000	3.28487829e-005	
4.68937876e+000	3.42272418e-005	
4.80961924e+000	3.56057007e-005	
4.92985972e+000	3.69841596e-005	
5.05010020e+000	3.85951476e-005	
5.17034068e+000	4.07558141e-005	
5.29058116e+000	4.29164807e-005	
5.41082164e+000	4.50771472e-005	
5.53106212e+000	4.72378138e-005	
5.65130261e+000	4.95614577e-005	
5.77154309e+000	5.31483993e-005	
5.89178357e+000	5.67353409e-005	
6.01202405e+000	6.03222825e-005	
6.13226453e+000	6.39092241e-005	
6.25250501e+000	6.74961657e-005	
6.37274549e+000	7.03076717e-005	
6.49298597e+000	7.30619650e-005	
6.61322645e+000	7.58162583e-005	
6.73346693e+000	7.85705516e-005	
6.85370741e+000	8.13248449e-005	
6.97394790e+000	8.30002732e-005	
7.09418838e+000	8.43127363e-005	
7.21442886e+000	8.56251993e-005	
7.33466934e+000	8.69376623e-005	
7.45490982e+000	8.82501254e-005	
7.57515030e+000	9.03551145e-005	
7.69539078e+000	9.30694856e-005	
7.81563126e+000	9.57838568e-005	
7.93587174e+000	9.84982279e-005	
8.05611222e+000	1.01212599e-004	
8.17635271e+000	1.05002996e-004	
8.29659319e+000	1.10531884e-004	
8.41683367e+000	1.16060772e-004	
8.53707415e+000	1.21589660e-004	
8.65731463e+000	1.27118548e-004	
8.77755511e+000	1.33480307e-004	
8.89779559e+000	1.43187843e-004	
9.01803607e+000	1.52895379e-004	
9.13827655e+000	1.62602916e-004	
9.25851703e+000	1.72310452e-004	
9.37875752e+000	1.81975374e-004	
9.49899800e+000	1.89075142e-004	
9.61923848e+000	1.96174911e-004	
9.73947896e+000	2.03274679e-004	
9.85971944e+000	2.10374448e-004	
9.97995992e+000	2.17474216e-004	
1.01002004e+001	2.22285921e-004	
1.02204409e+001	2.26639895e-004	
1.03406814e+001	2.30993868e-004	
1.04609218e+001	2.35347842e-004	
1.05811623e+001	2.39701816e-004	
1.07014028e+001	2.47453823e-004	
1.08216433e+001	2.57032627e-004	
1.09418838e+001	2.66611431e-004	
1.10621242e+001	2.76190236e-004	
1.11823647e+001	2.85769040e-004	
1.13026052e+001	2.98753109e-004	
1.14228457e+001	3.15618053e-004	
1.15430862e+001	3.32482997e-004	
1.16633267e+001	3.49347942e-004	
1.17835671e+001	3.66212886e-004	
1.19038076e+001	3.87880420e-004	
1.20240481e+001	4.21634527e-004	
1.21442886e+001	4.55388633e-004	
1.22645291e+001	4.89142739e-004	
1.23847695e+001	5.22896846e-004	
1.25050100e+001	5.56093417e-004	
1.26252505e+001	5.84349453e-004	
1.27454910e+001	6.12605489e-004	
1.28657315e+001	6.40861524e-004	
1.29859719e+001	6.69117560e-004	
1.31062124e+001	6.97373596e-004	
1.32264529e+001	7.13507167e-004	
1.33466934e+001	7.28562924e-004	
1.34669339e+001	7.43618681e-004	
1.35871743e+001	7.58674438e-004	
1.37074148e+001	7.73730195e-004	
1.38276553e+001	8.02865660e-004	
1.39478958e+001	8.37066976e-004	
1.40681363e+001	8.71268292e-004	
1.41883768e+001	9.05469608e-004	
1.43086172e+001	9.39670924e-004	
1.44288577e+001	9.91847312e-004	
1.45490982e+001	1.05858820e-003	
1.46693387e+001	1.12532909e-003	
1.47895792e+001	1.19206998e-003	
1.49098196e+001	1.25881087e-003	
1.50300601e+001	1.36164049e-003	
1.51503006e+001	1.52607585e-003	
1.52705411e+001	1.69051122e-003	
1.53907816e+001	1.85494658e-003	
1.55110220e+001	2.01938195e-003	
1.56312625e+001	2.18470664e-003	
1.57515030e+001	2.35391951e-003	
1.58717435e+001	2.52313237e-003	
1.59919840e+001	2.69234524e-003	
1.61122244e+001	2.86155810e-003	
1.62324649e+001	3.03074757e-003	
1.63527054e+001	3.19267781e-003	
1.64729459e+001	3.35460805e-003	
1.65931864e+001	3.51653829e-003	
1.67134269e+001	3.67846853e-003	
1.68336673e+001	3.84039877e-003	
1.69539078e+001	4.15566509e-003	
1.70741483e+001	4.50448963e-003	
1.71943888e+001	4.85331417e-003	
1.73146293e+001	5.20213872e-003	
1.74348697e+001	5.55096326e-003	
1.75551102e+001	6.13130170e-003	
